id,common_name,common_lat,common_long
133,Valencia St at 22nd St,37.7552126,-122.4209752
134,Valencia St at 24th St,37.7524278,-122.4206278
136,23rd St at San Bruno Ave,37.7544356,-122.4043639
137,Jersey St at Castro St,37.750506,-122.4339496
138,Jersey St at Church St,37.7509004,-122.4274114
139,Garfield Square (25th St at Harrison St),37.7510171,-122.4119009
140,Cesar Chavez St at Dolores St,37.7478584,-122.4249863
141,Valencia St at Cesar Chavez St,37.7479981,-122.4202187
144,Precita Park,37.7472996,-122.4114029
145,29th St at Church St,37.7436839,-122.4268059
146,30th St at San Jose Ave,37.7423139,-122.4231805
147,29th St at Tiffany Ave,37.7440667,-122.4214722
148,Horton St at 40th St,37.8297046,-122.2876102
149,Emeryville Town Hall,37.8312752,-122.2856333
150,Adeline St at 40th St,37.8312769,-122.2782669
151,53rd St at Hollis St,37.8361823,-122.2871801
152,47th St at San Pablo Ave,37.83563220458518,-122.28105068206789
153,59th St at Horton St,37.8409452,-122.2913604
154,Doyle St at 59th St,37.8419238,-122.2880451
155,Emeryville Public Market,37.84052116694969,-122.29352831840517
156,Stanford Ave at Hollis St,37.8384435,-122.2886647
157,65th St at Hollis St,37.8467842,-122.2913761
158,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901
159,24th St at Market St,37.8160598,-122.2782444
160,West Oakland BART Station,37.8053183,-122.2948365
162,Franklin St at 9th St,37.8005161,-122.2720799
163,Lake Merritt BART Station,37.7973195,-122.2653199
164,Isabella St at San Pablo Ave,37.81498823042416,-122.2748440504074
166,College Ave at Alcatraz Ave,37.8513755,-122.2525233
167,College Ave at Harwood Ave,37.848152,-122.2521599
168,Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393
169,Bushrod Park,37.8465156,-122.2653043
170,Telegraph Ave at 58th St,37.8444927,-122.261351
171,Rockridge BART Station,37.84427875399067,-122.251900434494
172,College Ave at Taft Ave,37.8417999,-122.2515349
173,Shattuck Ave at 55th Ave,37.8403643,-122.2644881
174,Shattuck Ave at 51st St,37.8368013,-122.2640037
175,49th St at Telegraph Ave,37.8359455,-122.2623663
176,MacArthur BART Station,37.82840997305853,-122.26631462574004
177,MacArthur Blvd at Telegraph Ave,37.8262863,-122.2651002
178,Broadway at 30th St,37.8193814,-122.2619284
179,Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278
180,Telegraph Ave at 23rd St,37.8126783,-122.2687726
181,Grand Ave at Webster St,37.8113768,-122.2651925
182,19th Street BART Station,37.8090126,-122.2682473
183,Telegraph Ave at 19th St,37.8087021,-122.2699271
184,Franklin St at 14th St,37.8037651,-122.2699884
185,Jackson St at 14th St,37.8018575,-122.2653676
186,Lakeside Dr at 14th St,37.8013189,-122.2626418
187,Jack London Square,37.796248,-122.279352
188,Dover St at 57th St,37.8426295,-122.267738
189,Genoa St at 55th St,37.8396488,-122.2717561
190,West St at 40th St,37.8302232,-122.2709501
191,Market St at 40th St,37.8305452,-122.2739367
192,37th St at West St,37.82579398644032,-122.26939916610718
193,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152
194,Lakeshore Ave at Trestle Glen Rd,37.8110807,-122.2432677
195,Bay Pl at Vernon St,37.81231409135146,-122.26077854633331
196,Grand Ave at Perkins St,37.80889393398715,-122.25646018981932
197,El Embarcadero at Grand Ave,37.8088479,-122.2496799
198,Snow Park,37.80781318217903,-122.26449608802795
199,Webster St at 17th St,37.80583,-122.2673076
200,2nd Ave at E 18th St,37.8002135669698,-122.25381016731262
201,10th St at Fallon St,37.7976728,-122.2629973
202,Washington St at 8th St,37.8007544,-122.2748943
203,Webster St at 2nd St,37.795194764385954,-122.27396965026855
204,55th St at Telegraph Ave,37.8401858,-122.2618225
205,Shafter Ave at Cavour St,37.8388,-122.258732
206,College Ave at Bryant Ave,37.8381269,-122.2512714
207,Broadway at Coronado Ave,37.8357883,-122.2516207
208,S. 4th St at San Carlos St,37.33283577967246,-121.881821
209,45th St at MLK Jr Way,37.8335577,-122.2674183
210,45th St at Manila,37.8332935222321,-122.25622415542604
211,Broadway at 40th St,37.8277573,-122.2567156
212,Webster St at MacArthur Blvd (Temporary Location),37.825008,-122.2604787
213,32nd St at Adeline St,37.8238474,-122.2811926
